Date,RBLX,%change,SPY,
8/30/2021,81.870003,,452.230011,
8/31/2021,82.050003,0.219860747,451.559998,-0.148157571
9/1/2021,84.449997,2.925038284,451.799988,0.053146869
9/2/2021,84.599998,0.177621084,453.190002,0.307661363
9/3/2021,82.870003,-2.044911396,453.079987,-0.02427569
9/7/2021,84.970001,2.534087033,451.459991,-0.357551877
9/8/2021,83.510002,-1.718252304,450.910004,-0.121824084
9/9/2021,86.349998,3.400785453,448.980011,-0.428021774
9/10/2021,87.879997,1.771857597,445.440002,-0.788455814
9/13/2021,84.650002,-3.675460981,446.579987,0.255923356
9/14/2021,82.330002,-2.740696923,444.170013,-0.539651142
9/15/2021,82.150002,-0.218632328,447.880005,0.835263951
9/16/2021,81.419998,-0.888623229,447.170013,-0.158522817
9/17/2021,80.809998,-0.749201689,441.399994,-1.29034122
9/20/2021,77.769997,-3.761911985,434.040009,-1.667418464
9/21/2021,78.849998,1.388711639,433.630005,-0.09446226
9/22/2021,81.18,2.954980417,437.859985,0.97548139
9/23/2021,82.279999,1.355012318,443.179993,1.215002097
9/24/2021,83.220001,1.142442892,443.910004,0.164721109
9/27/2021,79.989998,-3.881282097,442.640015,-0.286091548
9/28/2021,77.050003,-3.675453274,433.720001,-2.015184732
9/29/2021,76.309998,-0.960421767,434.450012,0.168313889
9/30/2021,75.550003,-0.995931097,429.140015,-1.222234285
10/1/2021,75.589996,0.052935802,434.23999,1.188417491
10/4/2021,77.800003,2.923676567,428.640015,-1.289603705
10/5/2021,72.57,-6.722368635,433.100006,1.040498051
10/6/2021,73.699997,1.557113132,434.899994,0.415605628
10/7/2021,74.800003,1.492545515,438.660004,0.864568878
10/8/2021,70.440002,-5.828878108,437.859985,-0.182377922
10/11/2021,70.220001,-0.312323955,434.690002,-0.723971842
10/12/2021,71.900002,2.392482165,433.619995,-0.24615404
10/13/2021,74.779999,4.005558998,435.179993,0.359761547
10/14/2021,74.349998,-0.575021404,442.5,1.68206423
10/15/2021,76.580002,2.999332966,445.869995,0.761580791
10/18/2021,77.800003,1.593106514,447.190002,0.296051992
10/19/2021,79.169998,1.760918955,450.640015,0.77148706
10/20/2021,78.580002,-0.745226746,452.410004,0.392772266
10/21/2021,83.190002,5.866632582,453.589996,0.260823587
10/22/2021,83.980003,0.949634549,453.119995,-0.103618026
10/25/2021,83.209999,-0.916889703,455.549988,0.536280241
10/26/2021,80.889999,-2.788126461,455.959991,0.090001758
10/27/2021,80.68,-0.259610585,453.940002,-0.443018914
10/28/2021,82.75,2.565691621,458.320007,0.964886324
10/29/2021,84.019997,1.534739577,459.25,0.202913463
11/1/2021,81.139999,-3.427753038,460.040009,0.172021557
11/2/2021,79.589996,-1.910282252,461.899994,0.4043094
11/3/2021,78.360001,-1.545414074,464.720001,0.610523281
11/4/2021,82.529999,5.321590029,466.910004,0.471252151
11/5/2021,77.989998,-5.501031207,468.529999,0.346960867
11/8/2021,77,-1.26939098,468.929993,0.085372121
11/9/2021,109.519997,42.23376234,467.380005,-0.330537185
11/10/2021,95.260002,-13.02044868,463.619995,-0.804486705
11/11/2021,98.120003,3.002310456,463.769989,0.032352789
11/12/2021,107.580002,9.641254291,467.269989,0.754684452
11/15/2021,108.059998,0.446175861,467.429993,0.034242302
11/16/2021,116.18,7.514345873,469.279999,0.395782476
11/17/2021,124.699997,7.333445516,468.140015,-0.242921923
11/18/2021,126.120003,1.138737798,469.730011,0.339641122
11/19/2021,134.720001,6.818900884,468.890015,-0.178825278
11/22/2021,120.220001,-10.76306405,467.570007,-0.281517618
11/23/2021,114.870003,-4.450172979,468.190002,0.132599395
11/24/2021,124.230003,8.148341391,469.440002,0.266985624
11/26/2021,122.650002,-1.271835275,458.970001,-2.230317177
11/29/2021,129.360001,5.470851113,464.600006,1.226660781
11/30/2021,126.099998,-2.520101248,455.559998,-1.94576149
